# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RB0LB_0RC1LB_1LA1RD_0LD1RC	DN	99582765
0RB0LB_0RC1LB_1LA1RD_1LA1RC	DN	99807215
0RB0LB_0RC1LB_1LA1RD_1LA1RD	DN	99807214
0RB0LB_0RC1LB_1LA1RD_1RC0LB	QH	3
0RB0LB_0RC1LB_1LB1RD_1LA1RD	QH	0
0RB0LB_0RC1LB_1LD1RC_0LA1LA	DN	99670063
0RB0LB_0RC1LB_1LD1RC_0RB1LA	DN	99315579
0RB0LB_0RC1LB_1LD1RC_0RC1LA	DN	99314739
0RB0LB_0RC1LB_1LD1RC_0RD1LA	DN	99670903
0RB0LB_0RC1LB_1LD1RC_1LA0RA	DN	99530820
0RB0LB_0RC1LB_1LD1RC_1LA1LA	DN	99533998
0RB0LB_0RC1LB_1LD1RC_1LB1LA	QH	0
0RB0LB_0RC1LB_1LD1RC_1RA1LA	DN	99537172
0RB0LB_0RC1LB_1LD1RC_1RB1LA	QH	0
0RB0LB_0RC1LB_1LD1RC_1RC1LA	QH	0
0RB0LB_0RC1LB_1LD1RD_1LA1RD	DN	99669642
0RB0LB_0RC1LB_1RD0LB_1LA1RC	QH	0
0RB0LB_0RC1LB_1RD1RC_1LD0LA	DN	99805211
0RB0LB_0RC1LB_1RD1RD_1LA1RD	QH	0
0RB0LB_0RC1LC_1RD1LA_1LB1RD	SP	58720129
0RB0LB_0RC1LD_1LA1RC_0LA0LB	DN	99999983
0RB0LB_0RC1LD_1LA1RC_0LA0LD	DN	99999990
0RB0LB_0RC1LD_1LA1RC_0LA1LA	DN	99999989
0RB0LB_0RC1LD_1LA1RC_0LA1RD	DN	99999967
0RB0LB_0RC1LD_1LA1RC_0RC1LB	DN	99807215
0RB0LB_0RC1LD_1LA1RC_0RC1LD	DN	99807213
0RB0LB_0RC1LD_1LA1RC_0RD1LB	DN	99583431
0RB0LB_0RC1LD_1LB1RC_0LA1LA	DN	99999988
0RB0LB_0RC1LD_1LB1RC_0LB0LA	DN	99999957
0RB0LB_0RC1LD_1LB1RC_0LB1LA	SP	67108829
0RB0LB_0RC1LD_1LB1RC_0RA0LB	QH	0
0RB0LB_0RC1LD_1LB1RC_0RA1LA	SP	83885657
0RB0LB_0RC1LD_1LB1RC_0RC1LA	SP	67108453
0RB0LB_0RC1LD_1LB1RC_1LB0LA	DN	99999966
0RB0LB_0RC1LD_1LB1RC_1LB1LA	SP	67108741
0RB0LB_0RC1LD_1LB1RC_1LC1LA	QH	0
0RB0LB_0RC1LD_1LB1RC_1RC0LA	DN	99999969
0RB0LB_0RC1LD_1LB1RC_1RC1LA	SP	67108653
0RB0LB_0RC1LD_1LB1RC_1RD1LA	SP	67108917
0RB0LB_0RC1LD_1LD1RC_0LA1LA	DN	99999980
0RB0LB_0RC1LD_1LD1RC_0RC1LA	DN	99999969
0RB0LB_0RC1LD_1RD0LA_1LA1RC	QH	0
0RB0LB_0RC1RB_1LD1RA_1LA---	SP	89364001
0RB0LB_0RC1RB_1LD1RC_1LA1LD	SP	44706517
0RB0LB_0RC1RB_1LD1RD_1LA0LB	SP	89364001
0RB0LB_0RC1RB_1LD1RD_1LA0RC	SP	67035259
0RB0LB_0RC1RD_1LD1RC_0LA1LA	DN	99999988
0RB0LB_1LA1LC_0RD1LA_1LB1RD	SP	50331524
0RB0LB_1LC0LD_1RA1RC_0RC1LB	DN	99999976
0RB0LB_1LC0LD_1RD0RA_1LB0RC	DN	99999857
0RB0LB_1LC0RC_1RD0LA_1RB1RC	DN	99964420
0RB0LB_1LC0RD_1LA0LA_1LB1RB	DN	99999975
0RB0LB_1LC0RD_1LA1LC_1LB1RB	DN	99999989
0RB0LB_1LC0RD_1LA1RB_1LC1RD	DN	99964801
0RB0LB_1LC1LA_1RD1RC_0LA0RC	QH	0
0RB0LB_1LC1LB_0RC0RD_1LA1RD	DN	99805877
0RB0LB_1LC1LB_0RD1LA_1LC1RD	SP	89511234
0RB0LB_1LC1LB_1RC0RD_1LA1RD	SP	25184213
0RB0LB_1LC1LC_0RD1LA_1LB1RD	SP	50331482
0RB0LB_1LC1LD_1RA1RC_1RC1LB	SP	44673846
0RB0LB_1LC1RA_0LD0LC_1RD1LB	DN	99982862
0RB0LB_1LC1RB_0LD1RD_1LA0RB	SP	44862149
0RB0LB_1LC1RC_1LA1RD_1RC0RD	DN	99981849
0RB0LB_1LC1RD_0LD0LC_1RA1LC	DN	99973794
0RB0LB_1LC1RD_0RD0LC_1RB1LA	QH	4
0RB0LB_1LC1RD_1LA0RD_1RB1RC	DN	99934096
0RB0LB_1RC0LA_0RD1RD_1LB1RB	DN	99999972
0RB0LB_1RC0LA_1LB1RD_1RC---	DN	99999990
0RB0LB_1RC0LA_1RD---_1LA1RC	DN	99999990
0RB0LB_1RC0LC_1RD0LA_1LB1RB	DN	99999981
0RB0LB_1RC1LB_0LB0RD_1LD1LA	SP	27484216
0RB0LB_1RC1LB_0LD0RD_1LD1LA	SP	27484232
0RB0LB_1RC1LB_0RD0RA_1LD0LB	SP	44796545
0RB0LB_1RC1LB_0RD0RD_1LD1LA	SP	78492633
