machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB0LC_1LC1RB_0LD1LA_0RD1RA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RA0RA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RA0RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RA0RC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RA1RA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RC0RA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RC1RA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RD0RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0LD1LA_1RD1RA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RB1LD_0RA0LC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD0LA_1RD1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD0LA_1RD1RB,listC,fuel,,,no-match
0RB0LC_1LC1RB_0RD1LA_0LA1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_0LA1RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_0LB1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_0LB1RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_0LB1RD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA0LC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA0LD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA0RC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA0RD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA1LD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA1RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA1RC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LA1RD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LB0RC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LB1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LB1RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LB1RD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LC1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LC1RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1LC1RD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1RA1LA,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1RA1LD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1RA1RB,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1RB0LC,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1RB0LD,listC,unboarded,,,no-match
0RB0LC_1LC1RB_0RD1LA_1RB0RC,listC,unboarded,,,no-match
